GEOID,fafood,fitness,park
36029000110,0.00723671658950863,0.047161091253332656,0.008008598626504139
36029000200,0.00735680372456348,0.04705782789039624,0.007528811302920392
36029000500,0.007153382797318917,0.04533609679399654,0.00741516995967792
36029000600,0.0072351033766024165,0.04692222431340464,0.007663954643310196
36029000700,0.007107431055392967,0.04743333069656318,0.007842339773203023
36029000800,0.007235103376602415,0.046922224313404676,0.007663954643310193
36029000900,0.007235103376602421,0.04692222431340473,0.007663954643310185
36029001000,0.007356803724563484,0.04705782789039651,0.007528811302920369
36029001100,0.007265971301310735,0.046530655987512416,0.008008540776793832
36029001402,0.007107431055392956,0.04743333069656331,0.007842339773203007
36029001500,0.007107431055392959,0.04743333069656322,0.007842339773203016
36029001600,0.007267138806105409,0.046074287997594415,0.00804047042800276
36029001700,0.007236716589508613,0.047161091253332545,0.008008598626504156
36029001900,0.007331970344018053,0.04497668479985352,0.00783262213751967
36029002300,0.007090462496069824,0.04690910411612835,0.0078634009876315
36029002400,0.007107431055392991,0.0474333306965635,0.007842339773202998
36029002502,0.007340395360876089,0.04367455018593101,0.007813386760519283
36029002702,0.007087918986583367,0.047144092900067866,0.008080055563964631
36029002800,0.007107431055392981,0.047433330696563414,0.007842339773203002
36029002900,0.007087918986583423,0.04714409290006789,0.008080055563964598
36029003000,0.0072659713013107485,0.0465306559875126,0.008008540776793811
36029003100,0.007901851051147081,0.046807022716187446,0.00756343448492195
36029003301,0.008083304526385487,0.04654089482033115,0.007172974662576512
36029003302,0.00829276207445051,0.04506882218563049,0.007181967843944725
36029003400,0.00800593669521408,0.046625632613127355,0.007521957358277285
36029003500,0.007854542240535523,0.0466209661631317,0.007184487419062209
36029003600,0.007862440796770176,0.04607652168765533,0.00733850981602079
36029003700,0.007087918986583351,0.047144092900067665,0.00808005556396462
36029003800,0.007356803724563466,0.04705782789039628,0.007528811302920378
36029003901,0.00834788787482115,0.04552521450909892,0.0072659053123159435
36029004001,0.008129307957682748,0.04481882991578237,0.007538964258604764
36029004100,0.007662599693747544,0.046807796130865754,0.007481054980195947
36029004200,0.008129307957682737,0.04481882991578238,0.007538964258604758
36029004300,0.008347887874821151,0.0455252145090989,0.007265905312315942
36029004401,0.00804483893743775,0.0464958013813077,0.007372905055995378
36029004402,0.008129307957682718,0.04481882991578233,0.007538964258604756
36029004500,0.008044838937437751,0.046495801381307704,0.0073729050559953775
36029004601,0.007975107375843917,0.046317140787259466,0.007395924680389066
36029004700,0.008347887874821158,0.04552521450909888,0.00726590531231593
36029004800,0.008138430326756155,0.04699728714379949,0.007256912130947745
36029004900,0.00813016954311069,0.04658077407678171,0.007200147838456546
36029005000,0.00807418215731207,0.04436243759231408,0.007455026790233543
36029005100,0.008117553301536197,0.04574887973744345,0.007280736973024756
36029005201,0.008347887874821151,0.0455252145090989,0.007265905312315942
36029005202,0.00813016954311069,0.04658077407678171,0.007200147838456546
36029005300,0.00807418215731207,0.04436243759231408,0.007455026790233543
36029005400,0.007950810894843431,0.04616924028965912,0.007438019889906094
36029005500,0.007989713137067079,0.046039409057839355,0.0072889675876241415
36029005600,0.008083304526385487,0.04654089482033115,0.007172974662576512
36029005700,0.0076074738933769,0.04635140380739747,0.0073971175118247405
36029005801,0.008112632978082259,0.0464982722879044,0.007501810382452789
36029005802,0.0076074738933769,0.04635140380739747,0.0073971175118247405
36029005900,0.007989713137067105,0.04603940905783927,0.007288967587624157
36029006100,0.007919981575473259,0.0458607484637911,0.00731198721201785
36029006301,0.00795081089484343,0.0461692402896591,0.007438019889906094
36029006302,0.0076074738933769,0.04635140380739747,0.0073971175118247405
36029006501,0.007989713137067124,0.04603940905783929,0.007288967587624163
36029006601,0.007919981575473233,0.04586074846379107,0.007311987212017863
36029006602,0.00811263297808226,0.04649827228790433,0.007501810382452799
36029006701,0.008112632978082285,0.04649827228790439,0.007501810382452805
36029006702,0.00760747389337689,0.046351403807397336,0.007397117511824738
36029006800,0.007950810894843436,0.046169240289658964,0.007438019889906101
36029006901,0.007951067814931717,0.04669823344637373,0.007466981598137902
36029006902,0.00811263297808229,0.04649827228790433,0.007501810382452795
36029007000,0.008292762074450477,0.04506882218563048,0.0071819678439447275
36029007101,0.00805741431606314,0.046893184536090905,0.007483474313152876
36029007102,0.006793342191862819,0.04640156707705077,0.007571270391765642
36029007202,0.0071985444508556075,0.04535127457691479,0.007307791270734395
36029016300,0.0073568037245635015,0.04705782789039641,0.007528811302920364
36029016400,0.007331970344018034,0.04497668479985322,0.007832622137519722
36029016500,0.00709956790211796,0.0452306294734488,0.007291096672761284
36029016600,0.007267138806105401,0.04607428799759436,0.008040470428002735
36029016700,0.007356803724563505,0.047057827890396565,0.007528811302920352
36029016800,0.008074182157312077,0.044362437592313925,0.007455026790233549
36029016900,0.007932597817047731,0.04669264280312943,0.007231398077449634
36029017000,0.008005936695214107,0.04662563261312738,0.007521957358277324
36029017100,0.007919981575473231,0.045860748463791054,0.007311987212017863
